row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
92,UHA-0134,9,4.62E-04,6.06E-05,UHA-0010,9,9,1,2.56E+00,UHA-0259,9,9,0,8.69E+00,1.49E+00,+,9,1,1.07E+01,1.07E+01,*
93,UHA-0136,9,7.28E-04,8.99E-05,UHA-0010,9,9,1,1.55E+00,UHA-0259,9,9,1,3.43E+00,8.55E-01,-,9,2,6.32E+00,6.32E+00,*
94,UHA-0137,9,9.20E-04,3.71E-04,UHA-0010,9,9,1,1.87E+00,UHA-0259,9,9,1,3.12E+00,0.00E+00,,9,2,5.18E+00,2.88E+00,+
95,UHA-0138,9,4.39E-04,1.93E-06,UHA-0010,9,9,1,2.24E+00,UHA-0345,9,9,0,9.17E+00,5.27E+00,*,9,2,6.08E+00,5.33E+00,*
96,UHA-0139,9,1.50E-04,1.15E-05,UHA-0010,9,9,0,9.19E+00,UHA-0260,9,9,0,9.34E+00,9.34E+00,*,9,0,1.13E+01,1.13E+01,*
97,UHA-0140,9,8.36E-05,7.13E-06,UHA-0010,9,9,1,3.67E+00,UHA-0315,9,9,3,-8.38E+00,0.00E+00,,9,3,-3.48E+00,0.00E+00,
98,UHA-0141,9,1.67E-03,3.52E-05,UHA-0010,9,9,0,8.07E+00,UHA-0257,9,9,0,5.37E+00,8.20E-01,-,9,0,9.84E+00,9.84E+00,*
99,UHA-0143,9,3.61E-04,8.99E-05,UHA-0010,9,9,1,3.04E+00,UHA-0259,9,9,1,3.05E+00,3.05E+00,+,9,2,6.32E+00,6.32E+00,*
100,UHA-0144,9,6.57E-04,1.12E-05,UHA-0010,9,9,0,7.59E+00,UHA-0259,9,9,1,2.08E+00,0.00E+00,,9,1,4.58E+00,2.31E+00,+
101,UHA-0146,8,6.83E-04,5.13E-05,UHA-0010,9,8,0,8.42E+00,UHA-0015,9,8,1,1.09E+00,0.00E+00,,8,1,1.85E+00,1.96E-02,-
102,UHA-0147,9,5.96E-04,3.17E-06,UHA-0010,9,9,0,6.92E+00,UHA-0259,9,9,0,9.19E+00,7.66E+00,*,9,0,1.33E+01,1.33E+01,*
103,UHA-0150,9,4.49E-04,3.62E-06,UHA-0012,9,9,0,8.33E+00,UHA-0266,9,9,0,1.01E+01,1.01E+01,*,9,0,1.31E+01,1.31E+01,*
104,UHA-0162,8,1.89E-03,5.26E-05,UHA-0012,9,8,0,6.67E+00,UHA-0177,8,8,0,8.51E+00,6.14E+00,*,8,0,1.17E+01,7.84E+00,*
105,UHA-0163,9,5.95E-04,1.61E-05,UHA-0012,9,9,0,1.09E+01,UHA-0257,9,9,2,-4.46E+00,0.00E+00,,9,2,-1.78E+00,0.00E+00,
106,UHA-0164,8,1.98E-03,2.82E-04,UHA-0016,8,7,0,8.10E+00,UHA-0264,9,8,0,1.06E+01,5.54E-01,-,8,1,4.26E+00,6.54E-01,+
107,UHA-0165,9,7.29E-04,4.65E-04,UHA-0016,8,8,1,6.72E-01,UHA-0266,9,9,1,2.99E+00,0.00E+00,,9,2,2.87E+00,2.87E+00,+
108,UHA-0167,8,2.26E-03,6.01E-06,UHA-0013,9,8,0,5.78E+00,UHA-0260,9,8,1,4.04E+00,0.00E+00,,8,1,5.14E+00,5.14E+00,*
109,UHA-0148,9,3.76E-05,2.17E-06,UHA-0012,9,9,1,4.98E+00,UHA-0319,9,9,3,-5.56E+00,0.00E+00,,9,4,-5.47E+00,0.00E+00,
110,UHA-0151,9,4.91E-04,8.11E-05,UHA-0012,9,9,0,1.15E+01,UHA-0351,9,9,0,6.30E+00,6.30E+00,*,9,0,9.26E+00,9.26E+00,*
111,UHA-0152,9,8.81E-04,1.93E-06,UHA-0012,9,9,0,7.16E+00,UHA-0260,9,9,1,4.96E+00,0.00E+00,,9,1,8.79E+00,8.79E+00,*
112,UHA-0153,9,8.91E-05,3.83E-07,UHA-0012,9,9,0,1.07E+01,UHA-0260,9,9,1,2.94E+00,2.94E+00,+,9,1,6.36E+00,6.36E+00,*
113,UHA-0154,9,1.79E-04,9.13E-06,UHA-0012,9,9,0,1.01E+01,UHA-0257,9,9,3,-8.24E+00,0.00E+00,,9,3,-6.88E+00,0.00E+00,
114,UHA-0155,9,5.32E-04,3.31E-06,UHA-0012,9,9,0,8.86E+00,UHA-0257,9,9,0,7.62E+00,7.62E+00,*,9,0,1.25E+01,1.25E+01,*
115,UHA-0156,9,1.52E-04,4.16E-10,UHA-0012,9,9,1,1.15E+00,UHA-0361,7,7,4,-1.25E+01,0.00E+00,,7,4,-9.32E+00,0.00E+00,
116,UHA-0157,9,3.58E-04,9.81E-06,UHA-0012,9,9,0,9.21E+00,UHA-0258,9,9,1,2.72E+00,2.72E+00,+,9,1,5.68E+00,5.68E+00,*
