Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0126,9,UHA-0010,9,9,1, 3.19991879944528E+0000,UHA-0266,9,9,2,-2.31867003528093E+0000, 0.00000000000000E+0000,,9,2, 2.57883706415363E+0000, 2.26879286969356E+0000,+,
UHA-0127,8,UHA-0010,9,8,1, 1.10199980566863E+0000,UHA-0015,9,8,1, 1.86984573250125E+0000, 0.00000000000000E+0000,,8,2, 1.01226238200033E+0000, 7.30376732088112E-0003,-,
UHA-0128,9,UHA-0010,9,9,2,-5.69925095628350E+0000,UHA-0258,9,9,3,-6.32592259201530E+0000, 0.00000000000000E+0000,,9,3, 1.74446480369093E+0000, 2.84641594358778E-0001,-,
UHA-0129,8,UHA-0010,9,8,0, 5.77919018931034E+0000,UHA-0331,7,6,1,-1.49808034415060E+0000, 0.00000000000000E+0000,,6,1, 1.75591620013369E-0001, 1.75591620013369E-0001,-,
UHA-0130,9,UHA-0010,9,9,1, 3.75424634245862E+0000,UHA-0016,8,8,1,-1.92611669739502E-0001, 0.00000000000000E+0000,,8,2,-3.93524337301020E-0001, 0.00000000000000E+0000,,
UHA-0131,9,UHA-0010,9,9,1, 2.41080916129896E+0000,UHA-0263,9,9,0, 8.15637813792445E+0000, 5.72720164757761E+0000,*,9,5,-8.37946412520050E+0000, 0.00000000000000E+0000,,
UHA-0132,9,UHA-0010,9,9,1, 1.96077199869216E+0000,UHA-0263,9,9,1, 5.05588395480599E+0000, 5.05588395480599E+0000,*,9,4,-2.86433979923181E+0000, 0.00000000000000E+0000,,
UHA-0133,9,UHA-0010,9,9,0, 9.66276729959900E+0000,UHA-0015,9,9,0, 5.31261086647967E+0000, 0.00000000000000E+0000,,9,0, 7.55162420652798E+0000, 2.64030133492543E-0003,-,
UHA-0134,9,UHA-0010,9,9,1, 2.93377243951838E+0000,UHA-0258,9,9,2,-2.37686575892074E+0000, 0.00000000000000E+0000,,9,2, 1.86400141448603E+0000, 1.86400141448603E+0000,+,
UHA-0135,9,UHA-0010,9,9,1, 2.76572669349082E+0000,UHA-0257,9,9,1, 1.49669592773932E+0000, 1.49669592773932E+0000,+,9,3,-1.06316009005977E+0000, 0.00000000000000E+0000,,
UHA-0136,9,UHA-0010,9,9,1, 1.86215464205865E+0000,UHA-0331,7,7,2,-5.41511589140229E+0000, 0.00000000000000E+0000,,7,2,-5.02691702672658E-0001, 0.00000000000000E+0000,,
UHA-0137,9,UHA-0010,9,9,1, 2.20632532363524E+0000,UHA-0015,9,9,1, 4.49391642576736E+0000, 0.00000000000000E+0000,,9,2, 2.46617821781733E+0000, 6.98027193854206E-0001,+,
UHA-0138,9,UHA-0010,9,9,0, 7.72224039029612E+0000,UHA-0293,9,9,2,-1.12200590127679E+0000, 0.00000000000000E+0000,,9,2, 1.19445119965031E+0000, 2.93358794206853E-0001,-,
UHA-0139,9,UHA-0010,9,9,0, 9.55295244805418E+0000,UHA-0260,9,9,1, 3.27872791781224E+0000, 3.27872791781224E+0000,+,9,1, 4.65357573352895E+0000, 4.65357573352895E+0000,*,
UHA-0140,9,UHA-0010,9,9,1, 3.90042894536233E+0000,UHA-0315,9,9,3,-8.04605538018174E+0000, 0.00000000000000E+0000,,9,3,-3.10713055930478E+0000, 0.00000000000000E+0000,,
UHA-0141,9,UHA-0010,9,9,0, 8.51339223078686E+0000,UHA-0257,9,9,0, 6.43581506653373E+0000, 1.37222388197116E+0000,-,9,1, 5.02897383803623E+0000, 5.02897383803623E+0000,*,
UHA-0142,9,UHA-0010,9,9,0, 7.95822293242564E+0000,UHA-0210,9,9,3,-5.40918149081345E+0000, 0.00000000000000E+0000,,9,3,-3.91860851088085E+0000, 0.00000000000000E+0000,,
UHA-0143,9,UHA-0010,9,9,1, 3.34703300282203E+0000,UHA-0331,7,7,2,-5.41511589140229E+0000, 0.00000000000000E+0000,,7,2,-4.94863605649836E-0001, 0.00000000000000E+0000,,
UHA-0144,9,UHA-0010,9,9,0, 7.89761983208309E+0000,UHA-0265,9,9,0, 9.49923085550910E+0000, 7.73095357819479E+0000,*,9,2, 2.49198228808243E+0000, 2.49198228808243E+0000,+,
UHA-0146,9,UHA-0010,9,9,0, 9.78007092374925E+0000,UHA-0015,9,9,2,-2.56807214824795E+0000, 0.00000000000000E+0000,,9,2,-2.15595704648207E+0000, 0.00000000000000E+0000,,
UHA-0147,9,UHA-0010,9,9,0, 7.27693361714669E+0000,UHA-0269,9,9,1, 1.85795835064106E+0000, 0.00000000000000E+0000,,9,2, 7.31232011009429E-0002, 7.31232011009429E-0002,-,
UHA-0148,9,UHA-0012,9,9,1, 5.42963529255242E+0000,UHA-0476,9,9,0, 1.16750009528394E+0001, 1.16750009528394E+0001,*,9,1, 1.31376859106598E+0001, 1.31376859106598E+0001,*,
UHA-0150,9,UHA-0012,9,9,0, 8.54379555759395E+0000,UHA-0266,9,9,0, 1.07654798780273E+0001, 1.07654798780273E+0001,*,9,0, 1.37212130357848E+0001, 1.37212130357848E+0001,*,
UHA-0151,9,UHA-0012,9,9,0, 1.19063369143050E+0001,UHA-0351,9,9,0, 6.69114035963039E+0000, 6.69114035963039E+0000,*,9,0, 9.65307441979166E+0000, 9.65307441979166E+0000,*,
UHA-0152,9,UHA-0012,9,9,0, 7.57371846041898E+0000,UHA-0260,9,9,2, 8.42769777416968E-0001, 0.00000000000000E+0000,,9,3,-2.18499911901163E+0000, 0.00000000000000E+0000,,
UHA-0153,9,UHA-0012,9,9,0, 1.11840032075781E+0001,UHA-0259,9,9,2,-3.43309848611366E+0000, 0.00000000000000E+0000,,9,3,-5.55680596240948E+0000, 0.00000000000000E+0000,,
UHA-0154,9,UHA-0012,9,9,1, 3.01839033955304E+0000,UHA-0257,9,9,2,-2.76261131612421E+0000, 0.00000000000000E+0000,,9,2, 2.77153905920071E+0000, 2.77153905920071E+0000,+,
UHA-0155,9,UHA-0012,9,9,0, 9.31991443007454E+0000,UHA-0257,9,9,3,-6.69817990592273E+0000, 0.00000000000000E+0000,,9,3,-5.79453674125905E+0000, 0.00000000000000E+0000,,
UHA-0156,9,UHA-0012,9,9,1, 1.64668269162206E+0000,UHA-0361,7,7,4,-1.25327289007583E+0001, 0.00000000000000E+0000,,7,4,-9.43505357149026E+0000, 0.00000000000000E+0000,,
UHA-0157,9,UHA-0012,9,9,0, 9.74680700765185E+0000,UHA-0257,9,9,1, 3.03997575873368E+0000, 3.03997575873368E+0000,+,9,1, 6.17842036940990E+0000, 6.17842036940990E+0000,*,
UHA-0158,9,UHA-0012,9,9,0, 7.80512310439144E+0000,UHA-0339,9,9,3,-4.24915622281314E+0000, 0.00000000000000E+0000,,9,3,-3.28123681499773E+0000, 0.00000000000000E+0000,,
UHA-0159,9,UHA-0012,9,9,1, 2.33412996737125E+0000,UHA-0260,9,9,1, 1.37970268666282E+0000, 1.37970268666282E+0000,-,9,2, 2.70664121584634E+0000, 1.20227154580841E+0000,+,
UHA-0160,9,UHA-0012,9,9,0, 1.12400609257817E+0001,UHA-0257,9,9,3,-7.10040527214714E+0000, 0.00000000000000E+0000,,9,3,-6.54085471060178E+0000, 0.00000000000000E+0000,,
UHA-0161,9,UHA-0012,9,9,0, 9.00467071181715E+0000,UHA-0011,9,9,1, 2.77158158921473E+0000, 1.80320051011570E+0000,+,9,2, 1.09060743807015E+0000, 6.92735739879343E-0001,+,
UHA-0162,8,UHA-0012,9,8,0, 7.07576050472392E+0000,UHA-0177,8,8,0, 8.24289342473708E+0000, 5.96407751932792E+0000,*,8,0, 1.15648304026297E+0001, 7.84258311705074E+0000,*,
