Tissue_ID,MT_ID,Accession_Number,PO,Species,Date,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0363,,NA,P,Quercus macrocarpa,6/8/2023,-88.06436,41.816998,78.9,78.9,0,0,0,
UHA-0365,,NA,P,Quercus macrocarpa,6/8/2023,-88.06457,41.817268,72.2,72.2,0,0,0,
UHA-0366,,NA,P,Quercus macrocarpa,6/8/2023,-88.06451,41.817313,39.7,39.7,0,0,0,
UHA-0367,,NA,P,Quercus alba,6/8/2023,-88.064561,41.817726,82.7,82.7,0,0,0,
UHA-0368,,NA,P,Quercus alba,6/8/2023,-88.06448,41.817737,52.3,52.3,0,0,0,
UHA-0370,,NA,P,Quercus alba,6/12/2023,-88.0642,41.817939,79.1,79.1,0,0,0,
UHA-0371,,NA,P,Quercus alba,6/12/2023,-88.06406,41.817675,64.2,64.2,0,0,0,
UHA-0372,,NA,P,Quercus macrocarpa,6/12/2023,-88.06411,41.817596,21.8,21.8,0,0,0,
UHA-0373,,NA,P,Quercus macrocarpa,6/12/2023,-88.06411,41.817565,16.4,16.4,0,0,0,
UHA-0375,,NA,P,Quercus macrocarpa,6/12/2023,-88.06399,41.81746,17.7,17.7,0,0,0,
UHA-0376,,NA,P,Quercus macrocarpa,6/12/2023,-88.06393,41.817468,31,31,0,0,0,
UHA-0378,,NA,P,Quercus alba,6/12/2023,-88.06389,41.817349,86.3,86.3,0,0,0,
UHA-0380,,NA,P,Quercus alba,6/12/2023,-88.06365,41.81752,28.9,28.9,0,0,0,
UHA-0381,,NA,P,Quercus alba,6/12/2023,-88.06365,41.817544,30.1,30.1,0,0,0,
UHA-0383,,NA,P,Quercus alba,6/12/2023,-88.06361,41.817641,52.1,52.1,0,0,0,
UHA-0384,,NA,P,Quercus alba,6/12/2023,-88.06366,41.81772,67.7,67.7,0,0,0,
UHA-0385,,NA,P,Quercus alba,6/12/2023,-88.06371,41.817699,43.4,43.4,0,0,0,
UHA-0387,,NA,P,Quercus alba,6/12/2023,-88.0636,41.817741,74.5,74.5,0,0,0,"Another tree next to this one, probably outside sample range"
UHA-0388,,NA,P,Quercus alba,6/12/2023,-88.06357,41.817834,61.1,61.1,0,0,0,
