Tissue ID,Accession_Number,PO,Species,Date of Collection,Longitude,Latitude,DBH_avg,DBH1,DBH2,DBH3,DBH4,Notes
UHA-0186,239-42*1,P,Quercus alba,5/31/23,-88.069282,41.816511,63.1,63.1,0,0,0,
UHA-0187,392-2006*1,P,Quercus alba,06/01,-88.068177,41.813475,28.6,28.6,0,0,0,
UHA-0188,468-2001*1,P,Quercus alba,06/07,-88.062587,41.814651,17.15,26.2,8.1,0,0,
UHA-0189,468-2001*2,P,Quercus alba,9/1/23,-88.063049,41.815225,26.3,26.3,0,0,0,
UHA-0190,468-2001*3,P,Quercus alba,9/1/23,-88.062965,41.81532,14.8,14.8,0,0,0,
UHA-0191,755-79*2,P,Quercus alba,06/01,-88.066559,41.813961,32.6,32.6,0,0,0,
UHA-0192,530-2008*7,P,Quercus aliena var. acutiserrata,,,,0,0,0,0,0,"No tissue, can't find, original coords: (41.81588, -88.062315)"
UHA-0193,1278-2004*1,P,Quercus bicolor,5/31/23,-88.068569,41.814118,28.3,28.3,0,0,0,
UHA-0194,1278-2004*3,P,Quercus bicolor,6/1/23,-88.068624,41.813697,25.4,25.4,0,0,0,
UHA-0195,1278-2004*4,P,Quercus bicolor,06/01/2023,-88.068607,41.81373,29.2,29.2,0,0,0,
UHA-0196,1278-2004*5,P,Quercus bicolor,06/01/2023,-88.068609,41.813769,24.6,24.6,0,0,0,
UHA-0197,1294-2004*1,P,Quercus bicolor,06/01/2023,-88.069395,41.813639,26.1,26.1,0,0,0,
UHA-0198,1294-2004*2,P,Quercus bicolor,06/01/2023,-88.069494,41.813636,0,0,0,0,0,"No DBH, removed from Children's Garden July 2024"
UHA-0199,135-U*10,P,Quercus bicolor,9/1/23,-88.06093,41.813936,59.3,59.3,0,0,0,
UHA-0200,135-U*12,P,Quercus bicolor,Removed,,,0,0,0,0,0,"Tree was removed from grounds, stump found 7/3/24, original coords: (41.813977, -88.060932)"
UHA-0201,135-U*13,P,Quercus bicolor,removed,,,0,0,0,0,0,"Tree was removed from grounds, stump found 7/3/24, original coords: (41.814018, -88.060952)"
UHA-0202,135-U*3,P,Quercus bicolor,5/31/23,-88.069315,41.816016,56,56,0,0,0,
UHA-0203,135-U*8,P,Quercus bicolor,9/1/23,-88.060924,41.813812,74.1,74.1,0,0,0,
UHA-0204,135-U*9,P,Quercus bicolor,9/1/23,-88.060928,41.813895,74.3,74.3,0,0,0,
UHA-0205,393-2006*1,P,Quercus bicolor,06/01/2023,-88.069529,41.813432,35.1,35.1,0,0,0,
UHA-0206,393-2006*2,P,Quercus bicolor,5/31/23,-88.069997,41.814384,27.3,27.3,0,0,0,
UHA-0207,463-84*5,P,Quercus bicolor,06/01/23,-88.065546,41.814944,56.6,56.6,0,0,0,
UHA-0208,525-32*1,P,Quercus bicolor,5/31/23,-88.069329,41.816331,44.7,44.7,0,0,0,
UHA-0209,551-2005*3,P,Quercus bicolor,06/01/2023,-88.068131,41.813429,26,26,0,0,0,
UHA-0210,616-30*3,P,Quercus x deamii,06/08/2023,-88.067528,41.816267,85.6,85.6,0,0,0,
UHA-0211,173-2001*1,P,Quercus dentata,06/08/2023,-88.0644,41.817529,19.5,19.5,0,0,0,
