"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0096","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0097","UHA-0015","UHA-0266","Quercus muehlenbergii",-88.063254,41.81167,"704-46*12","Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,TRUE,"704-46","704-46",19.4097192973039,FALSE
"UHA-0098","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0099","UHA-0257","UHA-0258","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,TRUE,"549-82","549-82",8.55773770662482,FALSE
"UHA-0100","UHA-0257","UHA-0256","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.065297,41.814547,"474-2001*1",29.5,NA,NA,NA,FALSE,"549-82","474-20",68.8535010855577,FALSE
"UHA-0101","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0102","UHA-0257","UHA-0351","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,TRUE,"549-82","549-82",12.8643209565563,FALSE
"UHA-0103","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0105","UHA-0257","UHA-0268","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus prinoides",-88.063133,41.813314,"120-2001*2",13.2,5.3,6.8,NA,FALSE,"549-82","120-20",233.403665380774,TRUE
"UHA-0106","UHA-0257","UHA-0260","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,FALSE,"549-82","570-78",52.0859387345233,FALSE
"UHA-0109","UHA-0257","UHA-0261","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",50.6,NA,NA,NA,FALSE,"549-82","570-78",40.8287737366712,FALSE
