"rownames","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
121,"UHA-0427",9,0.000242,0.0169,"UHA-0001",9,9,7,-14.9,"UHA-0260",9,9,3,0.329,0,"",9,8,2.01,1,"+"
122,"UHA-0428",9,0.000182,0.107,"UHA-0001",9,9,7,-14.3,"UHA-0266",9,9,2,1.88,0,"",9,7,4.21,1,"+"
123,"UHA-0429",9,0.000203,0.146,"UHA-0001",9,9,5,-8.2,"UHA-0012",9,9,0,11.5,8.87,"*",9,5,9.2,5.16,"*"
124,"UHA-0430",9,0.000229,0.00141,"UHA-0001",9,9,5,-9.77,"UHA-0263",9,9,1,2.33,0,"",9,6,2.7,0.0256,"+"
125,"UHA-0431",9,5.83e-05,0.000347,"UHA-0001",9,9,4,-7.06,"UHA-0012",9,9,0,13.6,9.63,"*",9,7,5.01,3.08,"*"
126,"UHA-0432",9,0.000467,0.0615,"UHA-0001",9,9,5,-8.68,"UHA-0303",9,9,1,5.9,0,"",9,5,6.92,0.633,"+"
127,"UHA-0433",9,0.00178,0.0164,"UHA-0001",9,9,5,-9.79,"UHA-0262",9,9,1,2.76,0,"",9,5,5.38,0.978,"+"
129,"UHA-0435",9,6.16e-05,0.338,"UHA-0001",9,9,7,-15,"UHA-0263",9,9,1,3.7,0.858,"-",9,7,4.02,0.657,"+"
130,"UHA-0436",9,0.000379,0.0254,"UHA-0001",9,9,7,-16.2,"UHA-0010",9,9,0,9.07,3.09,"*",9,8,4.51,0.866,"+"
131,"UHA-0437",9,0.00051,0.0171,"UHA-0001",9,9,6,-13.5,"UHA-0010",9,9,1,4.43,0.554,"-",9,6,5.93,0.146,"+"
132,"UHA-0438",9,0.000253,0.000827,"UHA-0001",9,9,4,-6.14,"UHA-0010",9,9,1,2.94,2.94,"*",9,5,3.14,2.74,"*"
133,"UHA-0439",9,7.77e-05,0.0864,"UHA-0001",9,9,7,-15.3,"UHA-0263",9,9,2,0.981,0,"",9,7,3.6,0.357,"+"
135,"UHA-0441",9,0.000392,0.163,"UHA-0001",9,9,7,-16.2,"UHA-0261",9,9,1,7.17,0,"",9,7,6.74,2.11,"+"
136,"UHA-0442",9,0.000414,0.00207,"UHA-0001",9,9,6,-12,"UHA-0260",9,9,0,10.7,6.9,"*",9,7,5.54,3.85,"*"
139,"UHA-0445",9,0.000977,0.793,"UHA-0001",9,9,7,-15.6,"UHA-0257",9,9,1,3.82,1.83,"+",9,7,3.34,1.39,"+"
140,"UHA-0446",9,0.000414,0.0513,"UHA-0001",9,9,7,-15.4,"UHA-0010",9,9,2,0.957,0,"",9,7,4.09,0.137,"+"
141,"UHA-0447",9,0.00115,0.00913,"UHA-0001",9,9,6,-12.4,"UHA-0512",9,9,3,1.72,1.07,"+",9,6,6.18,2.17,"*"
142,"UHA-0448",9,0.00188,0.0457,"UHA-0001",9,9,7,-16.2,"UHA-0260",9,9,1,3.41,1.68,"+",9,7,4.25,1.54,"+"
143,"UHA-0449",9,0.000833,0.000775,"UHA-0001",9,9,5,-9.45,"UHA-0257",9,9,1,3.2,1.81,"+",9,6,3.61,3.61,"*"
147,"UHA-0453",9,0.00228,0.793,"UHA-0001",9,9,7,-15.6,"UHA-0257",9,9,2,0.751,0,"",9,7,2.3,0.741,"+"
148,"UHA-0454",9,0.000697,0.0124,"UHA-0001",9,9,5,-8.84,"UHA-0257",9,9,1,3.25,0.732,"-",9,5,5.27,3.68,"*"
150,"UHA-0456",9,0.00194,0.0869,"UHA-0001",9,9,6,-12.5,"UHA-0257",9,9,2,0.244,0.244,"-",9,6,3.13,1.39,"+"
153,"UHA-0459",9,0.00077,0.0865,"UHA-0001",9,9,7,-16.9,"UHA-0257",9,9,0,9.82,9.52,"*",9,8,5.68,3.79,"*"
154,"UHA-0460",9,0.00201,0.0457,"UHA-0001",9,9,7,-16.2,"UHA-0260",9,9,1,4.22,3.57,"*",9,7,4.87,2.1,"+"
