"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0165","UHA-0016","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0167","UHA-0013","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0151","UHA-0012","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0152","UHA-0012","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0153","UHA-0012","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0155","UHA-0012","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0157","UHA-0012","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0159","UHA-0012","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0160","UHA-0012","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0161","UHA-0012","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0426","UHA-0009","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0427","UHA-0015","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0428","UHA-0015","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0429","UHA-0012","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0430","UHA-0012","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0431","UHA-0012","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0432","UHA-0012","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0433","UHA-0012","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0436","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0437","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0438","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0439","UHA-0010","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0440","UHA-0260","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0441","UHA-0260","UHA-0261",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",50.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0442","UHA-0260","UHA-0261",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",50.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0443","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0444","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0445","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0446","UHA-0260","UHA-0263",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063389,41.811663,"704-46*11",61.1,NA,NA,NA,NA,NA,"704-46",NA,NA
"UHA-0447","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0448","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0449","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0450","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0451","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0452","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0453","UHA-0260","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0454","UHA-0257","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0455","UHA-0257","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0456","UHA-0257","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0457","UHA-0257","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0458","UHA-0257","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0459","UHA-0257","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0460","UHA-0257","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
