Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0081,8,UHA-0014,8,8,0, 7.10127822596338E+0000,UHA-0016,7,7,1, 1.07700952819507E-0003, 0.00000000000000E+0000,,7,1, 3.50817650244158E-0001, 0.00000000000000E+0000,,
UHA-0091,8,UHA-0014,8,8,1, 1.14158093935664E+0000,UHA-0266,8,8,1, 2.50059929492630E+0000, 6.61534472910129E-0001,-,8,2, 4.87314042756832E+0000, 3.85305047231242E+0000,*,
UHA-0091,8,UHA-0014,8,8,1, 1.14158093935664E+0000,UHA-0011,8,8,3,-1.12456979130573E+0000, 0.00000000000000E+0000,,8,3, 1.02008995525590E+0000, 0.00000000000000E+0000,,
UHA-0098,8,UHA-0257,8,8,0, 5.35437170242315E+0000,UHA-0260,8,8,0, 7.92458096874885E+0000, 4.07075584908362E+0000,*,8,0, 1.09930446187746E+0001, 4.45897487502548E+0000,*,
UHA-0098,8,UHA-0257,8,8,0, 5.35437170242315E+0000,UHA-0010,8,8,0, 3.85382511966523E+0000, 0.00000000000000E+0000,,8,1, 6.53406974374918E+0000, 0.00000000000000E+0000,,
UHA-0098,8,UHA-0257,8,8,0, 5.35437170242315E+0000,UHA-0261,8,8,1, 1.23159795074298E+0000, 0.00000000000000E+0000,,8,2, 2.77061167472483E+0000, 0.00000000000000E+0000,,
UHA-0098,8,UHA-0257,8,8,0, 5.35437170242315E+0000,UHA-0011,8,8,1, 7.90776588850415E-0001, 0.00000000000000E+0000,,8,3, 2.36059669360315E-0001, 0.00000000000000E+0000,,
UHA-0099,8,UHA-0257,8,8,0, 8.58403909236305E+0000,UHA-0258,8,8,0, 7.10728302352445E+0000, 5.63421050018747E+0000,*,8,0, 9.18464707551406E+0000, 9.18464707551406E+0000,*,
UHA-0101,8,UHA-0257,8,8,0, 4.53461310054952E+0000,UHA-0260,8,8,0, 6.04534587360508E+0000, 4.57578209302169E+0000,*,8,1, 6.47625679188526E+0000, 5.82843631770384E+0000,*,
UHA-0101,8,UHA-0257,8,8,0, 4.53461310054952E+0000,UHA-0310,8,8,2, 9.19182549353037E-0001, 0.00000000000000E+0000,,8,3, 6.47820474181419E-0001, 0.00000000000000E+0000,,
UHA-0105,8,UHA-0257,8,8,0, 7.18389223110133E+0000,UHA-0258,8,8,0, 7.22295127514859E+0000, 4.28026077332169E+0000,*,8,1, 7.24071605911709E+0000, 4.33344385526663E+0000,*,
UHA-0105,8,UHA-0257,8,8,0, 7.18389223110133E+0000,UHA-0015,8,8,1, 2.94269050182690E+0000, 0.00000000000000E+0000,,8,2, 2.90727220385046E+0000, 0.00000000000000E+0000,,
UHA-0105,8,UHA-0257,8,8,0, 7.18389223110133E+0000,UHA-0268,8,8,2, 1.58610664872100E+0000, 0.00000000000000E+0000,,8,2, 2.02248034047580E+0000, 0.00000000000000E+0000,,
UHA-0106,8,UHA-0257,8,8,0, 6.86595572274904E+0000,UHA-0260,8,8,0, 4.14053291756638E+0000, 9.82894230086178E-0002,-,8,0, 7.56046742362513E+0000, 1.06504680741756E-0001,-,
UHA-0106,8,UHA-0257,8,8,0, 6.86595572274904E+0000,UHA-0010,8,8,0, 4.04224349455777E+0000, 0.00000000000000E+0000,,8,0, 7.45396274288337E+0000, 0.00000000000000E+0000,,
UHA-0106,8,UHA-0257,8,8,0, 6.86595572274904E+0000,UHA-0261,8,8,1, 1.42001632563551E+0000, 0.00000000000000E+0000,,8,1, 3.69050467385901E+0000, 0.00000000000000E+0000,,
UHA-0106,8,UHA-0257,8,8,0, 6.86595572274904E+0000,UHA-0210,8,8,2,-5.78674950819708E-0001, 0.00000000000000E+0000,,8,2, 1.04907095555952E+0000, 0.00000000000000E+0000,,
UHA-0106,8,UHA-0257,8,8,0, 6.86595572274904E+0000,UHA-0263,8,8,2,-1.23162689434059E+0000, 0.00000000000000E+0000,,8,2, 1.76938126014372E-0001, 0.00000000000000E+0000,,
UHA-0106,8,UHA-0257,8,8,0, 6.86595572274904E+0000,UHA-0011,8,8,2,-1.22798826684477E+0000, 0.00000000000000E+0000,,8,2, 1.62692414060212E-0001, 0.00000000000000E+0000,,
UHA-0106,8,UHA-0257,8,8,0, 6.86595572274904E+0000,UHA-0009,8,8,2,-1.33385582326249E+0000, 0.00000000000000E+0000,,8,2, 4.57230935694079E-0002, 0.00000000000000E+0000,,
UHA-0109,8,UHA-0257,8,8,0, 6.10170324369222E+0000,UHA-0261,8,8,0, 6.45801421425366E+0000, 5.11026782513839E+0000,*,8,0, 1.01174909548106E+0001, 7.41634602855824E+0000,*,
UHA-0109,8,UHA-0257,8,8,0, 6.10170324369222E+0000,UHA-0010,8,8,1, 1.34774638911527E+0000, 0.00000000000000E+0000,,8,2, 2.70114492625243E+0000, 0.00000000000000E+0000,,
UHA-0111,8,UHA-0257,8,8,0, 5.55216450932403E+0000,UHA-0015,8,8,1, 3.10654584808016E+0000, 0.00000000000000E+0000,,8,2, 3.43333466853753E+0000, 2.13894740910052E+0000,+,
UHA-0111,8,UHA-0257,8,8,0, 5.55216450932403E+0000,UHA-0258,8,8,1, 4.87420992017685E+0000, 2.33617136489185E-0001,-,8,3, 1.29438725943702E+0000, 0.00000000000000E+0000,,
UHA-0111,8,UHA-0257,8,8,0, 5.55216450932403E+0000,UHA-0267,8,8,2,-1.25725304412787E-0001, 0.00000000000000E+0000,,8,3, 4.42038071296696E-0001, 0.00000000000000E+0000,,
UHA-0111,8,UHA-0257,8,8,0, 5.55216450932403E+0000,UHA-0011,8,8,2, 1.40054901641505E+0000, 0.00000000000000E+0000,,8,3, 1.87790598406742E-0001, 0.00000000000000E+0000,,
