13,417,2,155,262,,,,,,,,,,,,,,,,,,,,,,,
,,,O,UHA-0351,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,QS03797_1,QS03797_2,MSQ13_1,MSQ13_2,QrZAG20_1,QrZAG20_2,QS00314_1,QS00314_2,QpZAG9_1,QpZAG9_2,QS1904_1,QS1904_2,MSQ4_1,MSQ4_2,QpZAG110_1,QpZAG110_2,QS00562_1,QS00562_2,QpZAG119_1,QpZAG119_2,QrZAG87_1,QrZAG87_2,QpZAG1-5_1,QpZAG1-5_2,QM69-2M1_1,QM69-2M1_2
UHA-0164,O,4,3,13,15,11,6,3,3,15,19,2,2,12,6,2,2,0,0,0,0,4,4,10,10,6,2
UHA-0165,O,4,3,13,13,1,12,3,3,13,19,2,2,12,12,2,2,3,3,30,19,4,4,8,10,6,6
UHA-0167,O,3,9,6,6,13,2,0,0,0,0,2,2,12,4,2,2,0,0,8,19,4,4,8,13,6,11
UHA-0148,O,3,3,5,8,11,6,3,5,13,16,2,2,3,3,2,2,2,2,13,5,4,4,6,9,6,11
UHA-0151,O,3,3,13,5,6,6,3,3,15,22,2,2,4,4,2,2,2,2,31,13,4,4,9,3,6,10
UHA-0152,O,4,4,13,13,13,11,3,3,13,15,2,7,4,7,2,2,2,2,19,13,4,4,8,9,6,6
UHA-0153,O,3,9,5,5,13,6,3,3,15,22,2,2,4,7,2,2,2,2,19,13,4,4,8,9,6,6
UHA-0154,O,4,4,13,14,13,11,5,5,13,15,2,2,10,20,2,2,2,2,30,23,4,4,8,9,6,6
UHA-0155,O,4,3,15,5,1,11,3,5,13,19,2,2,4,9,2,2,2,2,23,13,4,4,9,3,6,14
UHA-0156,O,4,8,13,14,13,11,3,3,13,9,2,2,5,5,2,2,2,2,30,25,4,4,8,9,6,4
UHA-0157,O,4,4,14,5,12,11,3,5,13,15,2,2,4,9,0,0,2,2,30,23,4,4,6,9,6,6
UHA-0158,O,4,3,13,6,12,6,3,5,22,21,2,2,4,9,2,2,2,3,30,23,4,4,7,7,6,12
UHA-0159,O,3,3,13,13,6,2,3,5,8,22,2,2,12,4,2,2,2,2,8,29,4,4,13,7,6,6
UHA-0160,O,4,3,15,5,1,11,3,4,19,22,2,2,4,9,2,3,2,2,23,13,4,4,8,9,6,14
UHA-0161,O,4,4,13,13,13,11,3,3,15,22,2,7,12,4,2,2,2,2,19,13,4,4,8,7,6,6
UHA-0426,O,4,3,13,15,11,6,3,5,13,11,2,2,3,12,2,2,2,3,31,20,4,4,8,8,6,12
UHA-0427,O,4,9,15,15,12,2,3,3,15,18,2,7,12,4,2,2,2,3,19,19,4,4,8,8,6,6
UHA-0428,O,4,4,15,15,12,11,3,5,19,18,2,2,12,4,2,2,3,3,30,17,4,4,8,10,6,10
UHA-0429,O,3,3,13,14,5,6,3,3,15,22,2,2,9,20,2,2,2,2,26,13,4,4,6,7,6,6
UHA-0430,O,3,9,5,5,13,6,3,3,13,15,2,2,12,4,2,2,2,2,30,8,4,4,8,9,6,6
UHA-0431,O,3,9,5,5,6,2,3,5,15,22,2,2,12,20,2,2,2,2,30,8,4,4,8,7,6,6
UHA-0432,O,3,3,13,14,5,6,3,3,13,17,2,2,4,11,2,2,0,0,26,13,4,4,6,9,6,6
UHA-0433,O,4,3,13,14,12,6,3,5,13,15,2,2,4,9,2,2,2,2,30,23,4,4,6,9,6,6
UHA-0434,O,3,3,15,5,6,15,3,5,13,17,2,2,10,4,2,2,3,3,19,13,4,4,8,9,6,2
UHA-0435,O,3,3,13,13,13,13,5,5,8,21,3,3,12,6,2,2,2,2,30,24,4,4,8,6,6,13
UHA-0436,O,4,4,13,15,12,13,3,5,13,11,2,3,3,11,2,2,2,3,34,32,4,4,8,8,6,10
UHA-0437,O,4,3,13,15,12,6,3,5,8,11,2,3,12,12,2,2,2,2,30,34,4,4,8,13,6,6
UHA-0438,O,4,4,13,15,12,13,5,5,8,14,2,2,3,11,2,2,2,2,30,35,4,4,6,13,10,12
UHA-0439,O,4,9,13,13,12,13,3,5,8,8,2,2,12,12,2,1,2,2,30,8,4,4,13,13,6,6
UHA-0440,O,3,9,13,13,13,6,3,3,8,15,2,3,12,12,2,1,2,2,8,22,4,4,13,3,6,10
UHA-0441,O,3,3,13,6,13,11,3,5,8,8,2,3,12,12,2,2,2,2,19,16,4,4,8,13,6,6
UHA-0442,O,3,2,13,13,12,13,3,3,8,15,3,7,12,7,2,2,2,2,8,29,4,4,8,13,6,6
UHA-0443,O,3,9,15,15,13,10,3,5,8,15,2,2,12,8,2,3,2,2,23,8,4,4,8,13,6,14
UHA-0444,O,3,9,15,15,1,13,3,4,15,19,2,2,12,8,2,2,2,2,23,19,4,4,8,3,6,14
UHA-0445,O,3,3,13,14,13,10,5,5,15,15,2,2,12,9,2,2,2,2,23,19,4,4,8,8,6,6
UHA-0446,O,4,9,13,13,2,8,3,5,8,11,2,3,12,7,2,2,2,2,30,19,4,4,8,13,6,6
UHA-0447,O,3,3,13,14,1,13,3,4,15,15,2,7,12,8,2,3,2,2,31,8,4,4,8,3,6,6
UHA-0448,O,3,3,13,15,1,13,3,4,8,15,2,7,12,8,2,2,2,2,23,19,4,4,8,8,6,14
UHA-0449,O,3,3,13,14,13,10,5,5,15,15,2,7,7,9,3,3,2,2,23,8,4,4,8,8,6,6
UHA-0450,O,3,3,13,15,1,13,3,4,8,19,2,2,8,7,2,2,2,2,31,8,4,4,13,3,6,14
UHA-0451,O,3,9,15,15,1,13,3,4,15,19,2,2,12,9,2,2,2,2,23,8,4,4,8,3,6,14
UHA-0452,O,3,9,14,14,1,2,5,4,15,15,2,2,12,9,3,3,2,2,31,19,4,4,8,8,6,6
UHA-0453,O,3,3,13,15,13,10,3,4,15,19,2,2,12,8,2,2,2,2,23,19,4,4,8,3,6,14
UHA-0454,O,3,3,13,14,2,10,5,5,15,15,2,2,8,7,2,3,2,2,31,8,4,4,8,13,6,6
UHA-0455,O,3,9,14,14,2,10,5,5,8,15,2,2,12,8,2,2,2,2,23,19,4,4,8,13,6,6
UHA-0456,O,3,3,13,15,13,10,3,4,15,15,2,2,12,9,2,2,2,2,23,8,4,4,8,13,6,14
UHA-0457,O,3,3,14,14,1,5,3,4,15,15,2,3,9,9,2,3,2,2,23,23,4,4,8,8,6,6
UHA-0458,O,3,3,14,14,1,5,3,4,15,15,2,3,8,11,2,2,2,2,23,26,4,4,8,8,6,6
UHA-0459,O,4,3,15,14,12,10,3,5,15,17,2,3,8,9,2,3,2,2,23,31,4,4,8,8,6,14
UHA-0460,O,3,3,13,15,2,10,3,5,8,15,2,7,12,9,2,3,2,2,31,19,4,4,8,13,6,14
UHA-0001,P,3,3,3,3,5,6,3,2,14,18,2,2,3,7,3,3,2,2,8,14,4,4,6,7,12,17
UHA-0002,P,3,3,3,4,1,5,3,2,11,5,1,1,4,7,3,5,2,2,10,28,4,4,9,7,12,14
UHA-0003,P,3,2,3,3,1,8,3,3,14,21,2,2,3,8,3,3,2,2,22,13,4,4,3,3,12,15
UHA-0004,P,5,5,13,12,9,16,3,3,15,12,2,2,8,6,7,4,1,1,10,11,0,0,3,3,11,9
UHA-0005,P,5,5,14,11,10,9,3,3,14,7,2,2,6,1,4,4,2,2,8,5,4,4,10,6,11,9
UHA-0006,P,5,5,14,11,12,9,3,3,14,16,2,2,9,6,5,5,3,3,5,4,4,4,10,3,9,9
UHA-0007,P,4,3,17,9,5,8,2,2,17,16,2,2,8,4,6,5,2,2,7,9,4,4,7,14,10,11
UHA-0008,P,3,3,15,11,11,5,2,2,16,16,2,2,4,5,6,9,2,3,16,16,4,4,10,7,10,9
UHA-0009,P,4,3,13,15,13,11,3,3,13,18,2,2,12,4,2,3,3,3,31,31,4,4,8,8,6,12
UHA-0010,P,4,3,13,13,12,13,3,5,13,8,2,3,3,12,0,0,2,3,32,32,4,4,8,13,6,10
UHA-0011,P,4,3,13,15,13,11,3,3,13,18,2,3,12,4,2,2,3,3,19,17,4,4,8,8,6,6
UHA-0012,P,4,3,13,5,11,6,3,3,13,22,2,2,4,20,2,2,2,2,30,13,4,4,9,7,6,6
UHA-0013,P,4,3,13,6,13,11,3,3,13,17,2,2,12,4,2,2,3,3,31,19,4,4,8,8,12,11
UHA-0014,P,4,3,13,6,12,13,3,5,13,12,2,2,4,4,2,2,2,3,31,19,4,4,8,9,12,11
UHA-0015,P,4,3,13,15,12,13,3,3,13,18,2,3,12,4,3,3,3,3,19,17,4,4,8,8,6,12
UHA-0016,P,4,3,13,15,12,6,3,3,13,15,2,2,0,0,0,0,3,3,32,32,4,4,8,10,6,2
UHA-0017,P,3,3,10,18,13,4,2,2,12,16,2,2,11,9,4,4,0,0,7,6,4,5,9,9,14,11
UHA-0018,P,3,3,13,18,8,3,2,2,16,21,2,2,9,5,7,8,3,3,0,0,4,5,10,9,11,9
UHA-0183,P,3,2,3,4,6,7,3,3,19,19,2,2,5,13,3,3,0,0,8,9,4,4,3,7,14,14
UHA-0184,P,4,4,3,3,5,5,3,3,14,18,2,4,4,4,3,3,2,2,6,6,4,4,6,7,12,12
UHA-0186,P,4,2,3,4,5,8,3,3,22,21,2,2,3,4,3,3,2,2,8,13,4,4,3,7,12,18
UHA-0187,P,4,4,3,4,6,6,3,3,13,13,2,2,4,5,3,3,2,2,9,9,4,4,6,6,11,9
UHA-0188,P,3,2,3,3,5,7,3,3,8,14,2,2,8,8,3,3,2,2,7,3,4,4,8,6,11,17
UHA-0191,P,4,4,3,3,6,6,3,3,11,18,2,1,13,17,3,3,2,2,8,8,4,4,6,6,17,17
UHA-0193,P,5,5,12,2,13,4,3,3,11,16,2,2,3,5,4,4,3,3,4,7,0,0,3,3,11,9
UHA-0194,P,3,3,12,12,9,9,4,2,14,7,2,6,3,6,0,0,0,0,8,8,2,2,3,7,14,9
UHA-0195,P,3,3,11,11,15,9,0,0,16,5,2,2,3,3,4,4,0,0,4,6,0,0,3,7,9,9
UHA-0196,P,3,3,12,16,6,10,3,3,9,9,2,2,3,7,4,4,2,2,8,4,0,0,3,7,11,11
UHA-0197,P,5,5,8,2,12,14,3,3,8,16,2,2,10,7,4,4,0,0,8,4,0,0,10,3,9,9
UHA-0198,P,2,5,8,12,2,8,3,3,12,14,2,2,11,7,6,9,3,3,28,4,0,0,11,11,9,9
UHA-0202,P,5,5,11,11,13,13,3,3,12,10,2,3,5,14,6,6,2,2,9,1,0,0,3,7,10,11
UHA-0205,P,3,3,11,11,10,15,3,3,16,7,2,2,3,4,4,4,2,2,4,4,0,0,3,3,9,9
UHA-0207,P,5,5,13,12,9,16,3,3,15,12,2,2,8,6,7,4,1,1,10,11,0,0,3,3,11,9
UHA-0208,P,3,2,13,12,2,4,3,3,13,12,2,2,9,9,5,5,3,3,4,9,0,0,3,3,9,9
UHA-0210,P,3,3,8,11,13,11,0,0,8,12,2,2,12,5,2,2,2,2,16,35,4,4,10,9,6,14
UHA-0211,P,3,3,7,7,4,4,3,3,1,4,1,1,4,5,3,4,3,3,8,3,0,0,3,4,15,1
