Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
UHA-0077,12, 2.80388643190018E-0003, 4.74147913172333E-0004,UHA-0014,12,12,0, 7.88804192185760E+0000,UHA-0016,10,10,2,-1.37323205373571E+0000, 0.00000000000000E+0000,,10,2, 3.50273421382502E-0001, 0.00000000000000E+0000,,
UHA-0077,12, 2.80388643190018E-0003, 4.74147913172333E-0004,UHA-0014,12,12,0, 7.88804192185760E+0000,UHA-0010,11,11,2,-5.26574367606885E-0001, 0.00000000000000E+0000,,11,2, 2.41362906120033E-0001, 0.00000000000000E+0000,,
UHA-0079,12, 7.12203678395050E-0005, 7.12203678395050E-0005,UHA-0014,12,12,0, 1.06147117939067E+0001,UHA-0267,12,12,0, 1.10180841150099E+0001, 1.10180841150099E+0001,*,12,0, 1.13912390596539E+0001, 1.13912390596539E+0001,*,
UHA-0079,12, 7.12203678395050E-0005, 7.12203678395050E-0005,UHA-0014,12,12,0, 1.06147117939067E+0001,UHA-0013,12,12,0, 9.75292945067543E+0000, 0.00000000000000E+0000,,12,0, 1.06989855912813E+0001, 0.00000000000000E+0000,,
UHA-0079,12, 7.12203678395050E-0005, 7.12203678395050E-0005,UHA-0014,12,12,0, 1.06147117939067E+0001,UHA-0262,12,12,1, 7.13915899225319E+0000, 0.00000000000000E+0000,,12,1, 7.33199716086486E+0000, 0.00000000000000E+0000,,
UHA-0079,12, 7.12203678395050E-0005, 7.12203678395050E-0005,UHA-0014,12,12,0, 1.06147117939067E+0001,UHA-0263,12,12,1, 6.51675746629340E+0000, 0.00000000000000E+0000,,12,1, 6.75156071847279E+0000, 0.00000000000000E+0000,,
UHA-0079,12, 7.12203678395050E-0005, 7.12203678395050E-0005,UHA-0014,12,12,0, 1.06147117939067E+0001,UHA-0265,12,12,2, 2.88699277305923E+0000, 0.00000000000000E+0000,,12,2, 2.76341388857751E+0000, 0.00000000000000E+0000,,
UHA-0079,12, 7.12203678395050E-0005, 7.12203678395050E-0005,UHA-0014,12,12,0, 1.06147117939067E+0001,UHA-0011,12,12,2, 2.85650224234540E+0000, 0.00000000000000E+0000,,12,2, 2.74980122209188E+0000, 0.00000000000000E+0000,,
UHA-0079,12, 7.12203678395050E-0005, 7.12203678395050E-0005,UHA-0014,12,12,0, 1.06147117939067E+0001,UHA-0009,12,12,2, 2.76921151067911E+0000, 0.00000000000000E+0000,,12,2, 2.64841904792436E+0000, 0.00000000000000E+0000,,
UHA-0080,11, 8.92116610273811E-0004, 1.28160849365109E-0005,UHA-0014,12,11,0, 6.11471361706112E+0000,UHA-0265,12,11,0, 8.40673307109125E+0000, 8.40673307109125E+0000,*,11,1, 9.46294577100548E+0000, 9.46294577100548E+0000,*,
UHA-0080,11, 8.92116610273811E-0004, 1.28160849365109E-0005,UHA-0014,12,11,0, 6.11471361706112E+0000,UHA-0016,10,9,1, 2.33045305131403E+0000, 0.00000000000000E+0000,,9,3, 6.32737391309975E-0002, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0262,12,11,0, 8.93651561059092E+0000, 8.93651561059092E+0000,*,11,0, 9.22746612009546E+0000, 9.22746612009546E+0000,*,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0263,12,11,0, 7.91681587500588E+0000, 0.00000000000000E+0000,,11,0, 8.68107519449642E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0013,12,11,0, 6.90392613960530E+0000, 0.00000000000000E+0000,,11,0, 7.88278780215381E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0009,12,11,0, 4.17774794177902E+0000, 0.00000000000000E+0000,,11,0, 5.90922831111239E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0267,12,11,0, 7.91404116895956E+0000, 0.00000000000000E+0000,,11,1, 5.87961635728081E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0015,12,11,1, 2.35304617156867E+0000, 0.00000000000000E+0000,,11,1, 3.63567923379125E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0011,12,11,1, 2.17377815411445E+0000, 0.00000000000000E+0000,,11,1, 3.40274183183574E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0010,11,10,1, 2.14147120757557E+0000, 0.00000000000000E+0000,,10,1, 3.06052425328558E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0016,10,9,1, 3.17387188876021E-0001, 0.00000000000000E+0000,,9,1, 1.02538428408118E+0000, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0265,12,11,1, 1.94922904984803E+0000, 0.00000000000000E+0000,,11,2, 7.20929585075795E-0001, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0210,11,10,2, 8.63665543707237E-0001, 0.00000000000000E+0000,,10,2, 4.84398770616415E-0001, 0.00000000000000E+0000,,
UHA-0081,11, 5.92522413870504E-0003, 2.33382851817484E-0003,UHA-0014,12,11,0, 9.02168968184040E+0000,UHA-0261,12,11,2, 5.67671732168673E-0001, 0.00000000000000E+0000,,11,2, 5.43866792019240E-0003, 0.00000000000000E+0000,,
UHA-0091,12, 1.64407062367786E-0003, 5.21883221754038E-0005,UHA-0014,12,12,2,-5.18867938442542E-0001,UHA-0266,11,11,2, 1.15617826745248E+0000, 0.00000000000000E+0000,,11,3, 4.64116209915281E+0000, 4.64116209915281E+0000,+,
UHA-0098,12, 2.66654958155837E-0003, 4.59447312543982E-0006,UHA-0257,12,12,0, 7.84993398216508E+0000,UHA-0260,12,12,0, 8.31244322314411E+0000, 8.31244322314411E+0000,*,12,0, 1.20390416539613E+0001, 1.20390416539613E+0001,*,
UHA-0098,12, 2.66654958155837E-0003, 4.59447312543982E-0006,UHA-0257,12,12,0, 7.84993398216508E+0000,UHA-0010,11,11,0, 3.33201028989838E+0000, 0.00000000000000E+0000,,11,1, 6.52502426234626E+0000, 0.00000000000000E+0000,,
UHA-0098,12, 2.66654958155837E-0003, 4.59447312543982E-0006,UHA-0257,12,12,0, 7.84993398216508E+0000,UHA-0261,12,12,1, 1.61946020513824E+0000, 0.00000000000000E+0000,,12,2, 3.81660870991153E+0000, 0.00000000000000E+0000,,
UHA-0098,12, 2.66654958155837E-0003, 4.59447312543982E-0006,UHA-0257,12,12,0, 7.84993398216508E+0000,UHA-0263,12,12,1, 5.32562214641056E-0001, 0.00000000000000E+0000,,12,3, 1.07890095306833E+0000, 0.00000000000000E+0000,,
UHA-0098,12, 2.66654958155837E-0003, 4.59447312543982E-0006,UHA-0257,12,12,0, 7.84993398216508E+0000,UHA-0210,11,11,2,-2.24044256371125E-0001, 0.00000000000000E+0000,,11,3, 8.42122052598308E-0001, 0.00000000000000E+0000,,
