Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0081,12, 6.03875892509257E-0004, 2.40747668518953E-0004,UHA-0014,13,12,0, 1.27998938155784E+0001,UHA-0013,13,12,0, 1.02963760100226E+0001, 0.00000000000000E+0000,,12,0, 1.09006553285011E+0001, 1.37814476783432E+0000,+,
UHA-0088,13, 1.09049249231789E-0004, 1.33795708169623E-0005,UHA-0014,13,13,0, 9.54060666408791E+0000,UHA-0262,13,13,0, 9.93473677493824E+0000, 6.98097342366721E+0000,*,13,2, 2.22147242460655E+0000, 1.94911536190624E+0000,+,
UHA-0089,13, 1.19673772795854E-0005, 2.48599934806833E-0007,UHA-0014,13,13,0, 1.14738916714131E+0001,UHA-0266,12,12,1, 6.19030991336515E+0000, 0.00000000000000E+0000,,12,1, 8.69003363530367E+0000, 8.69003363530367E+0000,*,
UHA-0090,13, 5.14395470495430E-0005, 1.31148756508102E-0007,UHA-0014,13,13,0, 9.22541131146873E+0000,UHA-0266,12,12,0, 1.29366552520755E+0001, 2.33770345995137E+0000,+,12,0, 1.61002228886308E+0001, 1.61002228886308E+0001,*,
UHA-0091,13, 1.08983186979438E-0004, 1.57439133890397E-0006,UHA-0014,13,13,0, 8.61075048455687E+0000,UHA-0266,12,12,1, 5.69176896730934E+0000, 6.11927414763682E-0001,-,12,1, 7.74726249289494E+0000, 7.74726249289494E+0000,*,
UHA-0093,11, 4.14565616332408E-0004, 8.14519818977212E-0005,UHA-0015,13,11,1, 3.96432213182211E+0000,UHA-0265,13,11,0, 1.00571401995537E+0001, 1.64918373877510E+0000,+,11,1, 1.07832904941465E+0001, 6.37828646701752E+0000,*,
UHA-0094,13, 5.29268707078569E-0005, 1.20983380765120E-0006,UHA-0015,13,13,1, 7.78344231261170E+0000,UHA-0266,12,12,1, 5.29738026632285E+0000, 9.97207922124637E-0001,+,12,2, 7.91182753924971E+0000, 7.91182753924971E+0000,*,
UHA-0095,13, 5.20012515878198E-0005, 8.10199040693728E-0007,UHA-0015,13,13,1, 5.39187903016956E+0000,UHA-0266,12,12,0, 1.12987123628886E+0001, 9.16645469921015E-0001,-,12,1, 1.42956721231645E+0001, 1.42956721231645E+0001,*,
UHA-0096,10, 3.18085487881460E-0003, 6.95238703941351E-0005,UHA-0015,13,10,1, 2.50378413057620E-0001,UHA-0266,12,10,0, 7.78768145750199E+0000, 1.72869165814547E+0000,+,10,1, 9.70467604490355E+0000, 9.70467604490355E+0000,*,
UHA-0097,12, 7.89994662320501E-0005, 6.11959039865309E-0005,UHA-0015,13,12,2, 1.52099358947779E+0000,UHA-0266,12,11,0, 1.00692371469698E+0001, 2.44793435910146E+0000,+,11,2, 1.14008510141125E+0001, 1.02102516682583E+0001,*,
