PlantId,Longitude,Latitude,RcvdYear,ProvenanceType,Species_Name,CalcNameSort,GardenLocalityName,GardenSubarea1,GridLoc,Annotate
584-2009*32,-88.086311,41.811651,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-4/63-44,ND
584-2009*33,-88.08637,41.811655,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-4/65-28,ND
584-2009*34,-88.085783,41.811662,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-5/62-88,ND
584-2009*35,-88.085994,41.811698,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,D-5/77-31,ND
584-2009*36,-88.087159,41.811737,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-2/02-14,ND
584-2009*37,-88.086944,41.811767,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-2/11-73,ND
584-2009*38,-88.08716,41.811833,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-2/37-15,ND
584-2009*39,-88.087065,41.811844,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-2/40-41,ND
584-2009*40,-88.086965,41.811912,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-2/64-69,ND
584-2009*41,-88.086807,41.81182,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-3/29-11,ND
584-2009*42,-88.086609,41.811913,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-3/61-66,ND
584-2009*43,-88.086214,41.811769,2009,g,Quercus alba,QUERCUSALBA,Morton Prairie Restoration,south savannah,E-4/05-72,ND
